State/UT,District,Percent total literate Population (Age 7 +) ,Percent literate Male Population (Age 7+) ,Percent literate Female Population (Age 7+) ,Percent girls (age 6-11) attending Schools,Percent boys (age 6-11) attending Schools,Have Electricity connection (%),Have Access to toilet facility (%),Use piped drinking water (%),Use LPG for cooking (%),Live in a pucca house (%),Own a house (%),Have a BPL card (%),Own Agriculture Land (%),Have a television (%),Have a mobile phone (%),Have a Motorized Vehicle (%)
Andaman and Nicober Island, North & Middle Andaman  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meghalaya,S. Garo Hills,78.4,83.1,72.9,97.8,98.8,57.1,82.7,19.1,0.9,1.2,98.9,3.5,27.2,30,7.3,8.4
Meghalaya,W. Garo Hills,72,77.6,65.9,99,97.6,51,71.3,11.9,1.9,2.2,98.2,26.7,40.5,25.9,9.1,5.9
Meghalaya,W. Khasi Hills,77,77.5,76.5,97.8,98.5,53.3,32.5,17,1.8,3.5,98.2,4.7,64,13.3,12.1,1.9
Mizoram,Aizawl,94.7,96.5,92.9,98.9,100,90.3,99.3,20.8,30.3,3.9,89.1,28.7,21.8,38.4,41.1,10.4
Mizoram,Champhai,94.2,97.5,90.8,99.8,99.5,95.6,99.9,68.8,15.6,1.1,90.9,55.3,68.8,28.2,23.7,7.4
Mizoram,Kolasib,87.3,90.4,84,98.7,98.1,83.4,93.4,60.3,29.6,3.6,81.9,32.8,59,26.9,28.4,6.8
Mizoram,Lawngtlai      ,86.4,87.7,84.7,99.5,99,89.1,96.1,42.3,6.3,0.9,97.5,54.5,71.7,16.7,9.6,1.7
Mizoram,Lunglei,87.6,90.1,84.9,99.6,99.3,87.1,95.8,55.8,9.9,8,97.7,56.8,75.4,26.3,16.8,3.7
Mizoram,Mamit,83.4,87.2,79,98.8,99.2,76.3,94.9,27.3,10.6,1,93.6,37.5,70.8,26.7,25.6,6.8
Mizoram,Saiha      ,92.2,94.8,89.4,100,100,91.6,98.8,72.4,14.3,0.6,94.1,56.9,60.4,26.3,18.6,3.3
Mizoram,Serchhip,96.4,97.5,95.1,100,99.2,99.5,99.3,57.9,25,1.8,93.7,41.5,69.5,42,35,8.7
Orissa,Angul,71.8,83.2,60.5,98.6,97.8,29.8,10.1,1,3.4,17.6,99.3,57.6,74.3,20.1,15.2,15.4
Orissa,Balangir,66.4,79.9,52.9,98.8,98.2,27.1,5.1,4,1.4,4.3,98,51,13.3,14.7,6.9,5.7
Orissa,Baleshwar,80,88.8,70.6,98.2,99.5,66.7,34.1,4.6,2.5,13.2,98.8,57.3,39.3,39.1,23.5,11.5
Orissa,Bargarh,72.8,83.6,61.7,97.4,96.6,40.3,9.8,7.9,2.6,9.1,97.8,46.6,64.5,23.9,9.2,8
Orissa,Baudh,70.3,83.9,56.5,99.4,95.6,13.4,4.8,0.9,0.9,4.3,98.5,64.9,73.1,10.5,6.8,5.4
Orissa,Bhadrak,82.2,89.9,74.5,98.8,98.5,52.9,19.3,1.9,3.3,12.7,98.2,46.9,69.2,31.4,24.8,9.4
